rank,song,artist,year,artist_clean,duration_ms,explicit
1,Blinding Lights,The Weeknd,2020,The Weeknd,200040,False
2,Circles,Post Malone,2020,Post Malone,215280,False
3,The Box,Roddy Ricch,2020,Roddy Ricch,196652,True
4,Don't Start Now,Dua Lipa,2020,Dua Lipa,183290,False
5,Rockstar,DaBaby featuring Roddy Ricch,2020,DaBaby,181733,True
6,Adore You,Harry Styles,2020,Harry Styles,207139,False
7,Life Is Good,Future featuring Drake,2020,Future,237735,True
8,Memories,Maroon 5,2020,Maroon 5,189486,False
9,The Bones,Maren Morris,2020,Maren Morris,197298,False
10,Someone You Loved,Lewis Capaldi,2020,Lewis Capaldi,182160,False
11,Say So,Doja Cat,2020,Doja Cat,237894,True
12,I Hope,Gabby Barrett featuring Charlie Puth,2020,Gabby Barrett,210772,False
13,Whats Poppin,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",2020,Jack Harlow,139741,True
14,Dance Monkey,Tones and I,2020,Tones,209438,False
15,Savage,Megan Thee Stallion featuring Beyoncé,2020,Megan Thee Stallion,155497,True
16,Roxanne,Arizona Zervas,2020,Arizona Zervas,163636,True
17,Intentions,Justin Bieber featuring Quavo,2020,Justin Bieber,212868,False
18,Everything I Wanted,Billie Eilish,2020,Billie Eilish,245425,False
19,Roses (Imanbek remix),Saint Jhn,2020,Saint Jhn,176218,True
20,Watermelon Sugar,Harry Styles,2020,Harry Styles,173991,False
21,Before You Go,Lewis Capaldi,2020,Lewis Capaldi,215106,False
22,Falling,Trevor Daniel,2020,Trevor Daniel,159381,False
23,"10,000 Hours",Dan + Shay and Justin Bieber,2020,Dan + Shay,167693,False
24,WAP,Cardi B featuring Megan Thee Stallion,2020,Cardi B,187546,True
25,Ballin',Mustard and Roddy Ricch,2020,Mustard,180434,True
26,Hot Girl Bummer,Blackbear,2020,Blackbear,188343,True
27,Blueberry Faygo,Lil Mosey,2020,Lil Mosey,162546,True
28,Heartless,The Weeknd,2020,The Weeknd,198266,True
29,Bop,DaBaby,2020,DaBaby,159714,True
30,Lose You to Love Me,Selena Gomez,2020,Selena Gomez,206458,False
31,Good as Hell,Lizzo,2020,Lizzo,159735,False
32,Toosie Slide,Drake,2020,Drake,247058,True
33,Break My Heart,Dua Lipa,2020,Dua Lipa,221820,False
34,Chasin' You,Morgan Wallen,2020,Morgan Wallen,205453,False
35,Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo,2020,Jawsh 685,171374,True
36,No Guidance,Chris Brown featuring Drake,2020,Chris Brown,260645,True
37,My Oh My,Camila Cabello featuring DaBaby,2020,Camila Cabello,171375,False
38,Dynamite,BTS,2020,BTS,199053,False
39,Go Crazy,Chris Brown and Young Thug,2020,Chris Brown,176960,True
40,High Fashion,Roddy Ricch featuring Mustard,2020,Roddy Ricch,220486,True
41,Laugh Now Cry Later,Drake featuring Lil Durk,2020,Drake,261492,True
42,Woah,Lil Baby,2020,Lil Baby,183011,True
43,Death Bed,Powfu featuring Beabadoobee,2020,Powfu,173333,False
44,Señorita,Shawn Mendes and Camila Cabello,2020,Shawn Mendes,190960,False
45,Highest in the Room,Travis Scott,2020,Travis Scott,175720,True
46,Bad Guy,Billie Eilish,2020,Billie Eilish,194087,False
47,Mood,24kGoldn featuring Iann Dior,2020,24kGoldn,140525,True
48,Rain on Me,Lady Gaga and Ariana Grande,2020,Lady Gaga,182200,False
49,For the Night,Pop Smoke featuring Lil Baby and DaBaby,2020,Pop Smoke,190476,True
50,Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin,2020,Black Eyed Peas,214854,True
51,Heart on Ice,Rod Wave,2020,Rod Wave,159669,True
52,Nobody but You,Blake Shelton and Gwen Stefani,2020,Blake Shelton,194866,False
53,Trampoline,Shaed,2020,Shaed,184060,False
54,Come & Go,Juice Wrld and Marshmello,2020,Juice Wrld,205484,True
55,Truth Hurts,Lizzo,2020,Lizzo,173325,True
56,If the World Was Ending,JP Saxe featuring Julia Michaels,2020,JP Saxe,208687,False
57,We Paid,Lil Baby and 42 Dugg,2020,Lil Baby,181929,True
58,Yummy,Justin Bieber,2020,Justin Bieber,210426,False
59,One Man Band,Old Dominion,2020,Old Dominion,186240,False
60,Got What I Got,Jason Aldean,2020,Jason Aldean,178146,False
61,Sunday Best,Surfaces,2020,Surfaces,158638,False
62,Godzilla,Eminem featuring Juice Wrld,2020,Eminem,210800,True
63,Bandit,Juice Wrld and YoungBoy Never Broke Again,2020,Juice Wrld,189322,True
64,Party Girl,StaySolidRocky,2020,StaySolidRocky,147800,True
65,Die from a Broken Heart,Maddie & Tae,2020,Maddie & Tae,188290,False
66,Popstar,DJ Khaled featuring Drake,2020,DJ Khaled,200221,True
67,All I Want for Christmas Is You,Mariah Carey,2020,Mariah Carey,241562,False
68,One of Them Girls,Lee Brice,2020,Lee Brice,188893,False
69,Hard to Forget,Sam Hunt,2020,Sam Hunt,204760,False
70,One Margarita,Luke Bryan,2020,Luke Bryan,193426,False
71,Panini,Lil Nas X,2020,Lil Nas X,114893,False
72,Hot,Young Thug featuring Gunna,2020,Young Thug,193026,True
73,I Hope You're Happy Now,Carly Pearce and Lee Brice,2020,Carly Pearce,198688,False
74,Emotionally Scarred,Lil Baby,2020,Lil Baby,197529,True
75,Suicidal,YNW Melly featuring Juice Wrld,2020,YNW Melly,222997,True
76,The Bigger Picture,Lil Baby,2020,Lil Baby,252728,True
77,Only Human,Jonas Brothers,2020,Jonas Brothers,183000,False
78,The Woo,Pop Smoke featuring 50 Cent and Roddy Ricch,2020,Pop Smoke,201600,False
79,Sum 2 Prove,Lil Baby,2020,Lil Baby,205760,True
80,Stuck with U,Ariana Grande and Justin Bieber,2020,Ariana Grande,228482,False
81,Mood Swings,Pop Smoke featuring Lil Tjay,2020,Pop Smoke,213333,True
82,You Should Be Sad,Halsey,2020,Halsey,205473,True
83,Dior,Pop Smoke,2020,Pop Smoke,216386,True
84,Supalonely,Benee featuring Gus Dapperton,2020,Benee,223488,True
85,Even Though I'm Leaving,Luke Combs,2020,Luke Combs,225253,False
